sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 23, 2024 17:44:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_data_driver:data_driver                                 	     53(53)	       0(0)	     24(24)	     49(49)	     0(0)	     0(0)	     0(0)	
 +u_data_in_uart_control_top:data_in_uart_control_top       	   5755(13)	     884(0)	    3329(7)	   6022(14)	     0(0)	    99(0)	   136(0)	
  +rgb_bicubic_u:rgb_bicubic                                	   5479(43)	     884(0)	    3250(0)	    5291(0)	     0(0)	    99(0)	  136(20)	
   +red_interp:bicubic_interpolation                        	 1236(1011)	   296(286)	   596(475)	 1551(1341)	     0(0)	    33(0)	   24(24)	
    +ux_divider_ip:divider_ip                               	      92(0)	       0(0)	      57(0)	      82(0)	     0(0)	     0(0)	     0(0)	
     +u_divider:divider_570d993e5fb64d11900c366fe0e2a2eb(WIDTHN=27,WIDTHD=12,LATENCY=27,PIPELINE=1'b0)	     92(92)	       0(0)	     57(57)	     82(82)	     0(0)	     0(0)	     0(0)	
    +uy_divider_ip:divider_ip                               	      93(0)	       0(0)	      57(0)	      82(0)	     0(0)	     0(0)	     0(0)	
