sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 07, 2024 15:23:52

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +scan_row.row[0].column[0].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_10	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
   +u_asyn_fifo:asyn_fifo                                   	     103(0)	      28(0)	      42(0)	      88(0)	     0(0)	    11(0)	     0(0)	
    +u_efx_fifo_top:efx_fifo_top_af32f278b05841e694433ae28c490f52_renamed_due_excessive_length_11	     103(4)	      28(0)	      42(0)	      88(0)	     0(0)	    11(0)	     0(0)	
     +xefx_fifo_ram:efx_fifo_ram_af32f278b05841e694433ae28c490f52(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=8192,RD_DEPTH=8192,WDATA_WIDTH=11,RDATA_WIDTH=11,WADDR_WIDTH=13,RADDR_WIDTH=13,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       5(5)	     0(0)	   11(11)	     0(0)	
     +xefx_fifo_ctl:efx_fifo_ctl_af32f278b05841e694433ae28c490f52_renamed_due_excessive_length_12	     99(99)	      28(0)	     42(42)	     83(31)	     0(0)	     0(0)	     0(0)	
      +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_af32f278b05841e694433ae28c490f52(WIDTH=14)	       0(0)	       0(0)	       0(0)	     13(13)	     0(0)	     0(0)	     0(0)	
      +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_af32f278b05841e694433ae28c490f52(STAGE=2,WIDTH=14)	       0(0)	     14(14)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
